abolish|废除；取消
contributor|贡献者；投稿人
conversion|转变；转换
convict|判有罪；罪犯
conviction|定罪；信念
cooperate|合作
cooperative|合作的；合作社
coordinate|协调；坐标
coordination|协调
coordinator|协调员
cop|警察
copper|铜
copyright|版权
correction|改正；修正
correlate|相关；使相互关联
correlation|相关性
correspond|符合；通信
correspondence|通信；对应
correspondent|记者；通信者
corresponding|相应的
corrupt|腐败的；使腐化
corruption|腐败
costly|昂贵的；代价高的
councillor|议员
counselling|咨询；辅导
counsellor|顾问；辅导员
counter|柜台；反击
counterpart|对应的人或物
countless|无数的
coup|政变
courtesy|礼貌；好意
craft|手艺；工艺
crawl|爬行；缓慢移动
creator|创造者
credibility|可信度
credible|可信的
creep|爬行；悄悄移动
critique|评论；批评
crown|王冠；加冕
crude|粗糙的；原油
crush|压碎；迷恋
crystal|水晶；晶体
cult|邪教；狂热崇拜
cultivate|培养；耕种
curiosity|好奇心
custody|监护；拘留
cutting|剪报；插枝
cynical|愤世嫉俗的
dam|水坝
damaging|有害的
dawn|黎明；开端
debris|碎片；残骸
debut|首次亮相
decision-making|决策
decisive|决定性的；果断的
declaration|宣布；声明
dedicated|专注的；献身的
dedication|奉献；致力
deed|行为；契约
deem|认为；视为
default|默认；违约
defect|缺陷；叛逃
defensive|防御的
deficiency|缺乏；不足
deficit|赤字；不足
defy|违抗；挑战
delegate|代表；委派
delegation|代表团；授权
delicate|精致的；微妙的
demon|恶魔
denial|否认；拒绝
denounce|谴责
dense|密集的；浓厚的
density|密度
dependence|依赖
depict|描绘
deploy|部署；调动
deployment|部署
deposit|存款；押金
deprive|剥夺
deputy|副职；代表
descend|下降；传下来
descent|下降；血统
designate|指定；命名
desirable|值得拥有的；可取的
desktop|桌面；台式电脑
destructive|破坏性的
detain|拘留
detection|发现；侦查
detention|拘留；留校
deteriorate|恶化
devastate|毁灭；使震惊
devil|魔鬼
devise|设计；想出
diagnose|诊断
diagnosis|诊断
dictate|命令；决定
dictator|独裁者
differentiate|区分
dignity|尊严
dilemma|困境
dimension|维度；方面
diminish|减少；削弱
dip|下降；蘸
diplomat|外交官
diplomatic|外交的
directory|目录；通讯录
disastrous|灾难性的
discard|丢弃
discharge|释放；排放
disclose|透露；公开
disclosure|透露；公开
discourse|话语；论述
discretion|谨慎；自行决定权
discrimination|歧视；辨别
dismissal|解雇；驳回
displace|取代；使流离失所
disposal|处理；处置
dispose|处理；处置
dispute|争端；争论
disrupt|扰乱；中断
disruption|扰乱；中断
dissolve|溶解；解散
distinction|区别；荣誉
distinctive|独特的
distort|扭曲；歪曲
distress|痛苦；危难
disturbing|令人不安的
divert|转移；使绕道
divine|神圣的
doctrine|教义；原则
documentation|文件资料
domain|领域；域名
dominance|支配；优势
donor|捐赠者
dose|剂量
drain|排水；消耗
drift|漂移；趋势
driving|驾驶；推动的
drown|淹死；淹没
dual|双重的
dub|配音；称为
dumb|哑的；愚蠢的
duo|二人组
dynamic|动态的；有活力的
eager|渴望的
earnings|收入；收益
ease|缓解；轻松
echo|回声；重复
ecological|生态的
educator|教育工作者
effectiveness|有效性
efficiency|效率
ego|自我；自尊
elaborate|详尽的；详细说明
electoral|选举的
elevate|提升；抬高
eligible|有资格的
elite|精英
embark|开始；上船
embarrassment|尴尬；难堪
embassy|大使馆
embed|嵌入
embody|体现；包含
emergence|出现；兴起
empirical|经验主义的；实证的
empower|授权；使能够
enact|颁布；制定
encompass|包含；围绕
encouragement|鼓励
encouraging|令人鼓舞的
endeavour|努力；尝试
endless|无尽的
endorse|支持；认可
endorsement|认可；代言
endure|忍受；持续
enforce|执行；强制实施
enforcement|执行；实施
engagement|参与；订婚
engaging|吸引人的
enquire|询问
enrich|丰富；充实
enrol|注册；入学
ensue|接着发生
enterprise|企业；事业
enthusiast|爱好者
entitle|使有权利；题名
entity|实体
epidemic|流行病；流行
equality|平等
equation|方程式；等式
erect|建造；直立的
escalate|升级；加剧
essence|本质；精髓
establishment|机构；建立
eternal|永恒的
evacuate|疏散；撤离
evoke|唤起；引发
evolutionary|进化的
exaggerate|夸大
excellence|卓越
exceptional|杰出的；异常的
excess|过量；超过
exclusion|排除；排斥
exclusive|独有的；排他的
exclusively|专门地；仅仅
execute|执行；处决
execution|执行；处决
exert|施加；运用
exile|流放；流亡者
exit|出口；退出
expenditure|支出；花费
experimental|实验性的
expire|到期；失效
explicit|明确的；直率的
explicitly|明确地
exploitation|剥削；利用
explosive|爆炸性的；炸药
extract|提取；摘录
extremist|极端主义者
facilitate|促进；使便利
faction|派系
faculty|院系；全体教师
fade|褪色；逐渐消失
fairness|公平
fatal|致命的
fate|命运
favourable|有利的；赞成的
feat|壮举；功绩
feminist|女权主义者；女权主义的
fibre|纤维
fierce|凶猛的；激烈的
film-maker|电影制作人
filter|过滤器；过滤
fine|罚款；精细的
firearm|枪支
fit|适合；健康的
fixture|固定装置；固定赛事
flaw|缺陷
flawed|有缺陷的
flee|逃离
fleet|舰队；车队
flesh|肉；肉体
flexibility|灵活性
flourish|繁荣；兴旺
fluid|液体；流畅的
footage|镜头；片段
foreigner|外国人
forge|锻造；伪造
formula|公式；方案
formulate|制定；表达
forth|向前；出来
forthcoming|即将到来的；愿意提供的
foster|培养；寄养
fragile|脆弱的
franchise|特许经营权
frankly|坦率地
frustrated|沮丧的
frustrating|令人沮丧的
frustration|沮丧；挫折
functional|实用的；功能的
fundraising|筹款
funeral|葬礼
gallon|加仑
gambling|赌博
gathering|聚会；收集
gaze|凝视
gear|装备；齿轮
generic|通用的；一般的
genocide|种族灭绝
glance|一瞥；扫视
glimpse|一瞥
glorious|光荣的；壮丽的
glory|荣耀；辉煌
governance|治理；管理
grace|优雅；恩典
grasp|抓住；理解
grave|坟墓；严重的
gravity|重力；严重性
grid|网格；电网
grief|悲痛
grin|咧嘴笑
grind|磨碎；苦干
grip|紧握；控制
gross|总的；令人恶心的
guerrilla|游击队员
guidance|指导
guilt|内疚；罪责
gut|肠道；直觉
hail|冰雹；赞扬
halfway|在中途
halt|停止；暂停
handful|少数；一把
handling|处理；操控
handy|方便的；手边的
harassment|骚扰
hardware|硬件
harmony|和谐
harsh|严厉的；恶劣的
harvest|收获；收成
hatred|仇恨
haunt|萦绕；出没
hazard|危险
heighten|增强；提高
heritage|遗产；传统
hierarchy|等级制度
high-profile|高调的；备受关注的
hint|暗示；提示
homeland|祖国；家园
hook|钩子；吸引
hopeful|有希望的；希望者
horizon|地平线；眼界
horn|角；喇叭
hostage|人质
hostile|敌对的
hostility|敌意；敌对
humanitarian|人道主义的
humanity|人类；人性
humble|谦逊的；卑微的
hydrogen|氢
identification|识别；身份证明
ideological|意识形态的
ideology|意识形态
idiot|白痴；傻瓜
ignorance|无知
imagery|意象；图像
immense|巨大的
imminent|即将发生的
implementation|实施；执行
imprison|监禁
imprisonment|监禁
inability|无能；不能
inadequate|不足的；不合格的
inappropriate|不合适的
incidence|发生率
inclined|倾向于；有...意向
inclusion|包含；接纳
incur|招致；遭受
indicator|指标；指示物
indictment|起诉书；控告
indigenous|本土的；土著的
induce|引起；诱导
indulge|沉溺；纵容
inequality|不平等
infamous|臭名昭著的
infant|婴儿
infect|感染
inflict|使遭受；施加
influential|有影响力的
inherent|固有的
inhibit|抑制；阻止
initiate|开始；发起
inject|注射；注入
injection|注射
injustice|不公正
inmate|囚犯；住院者
insertion|插入
insider|内部人士
inspect|检查
inspection|检查
inspiration|灵感；鼓舞
instinct|本能
institutional|机构的；制度的
instruct|指示；教授
instrumental|有帮助的；乐器的
insufficient|不足的
insult|侮辱
intact|完整无损的
intake|摄入量；录取人数
integral|不可或缺的；完整的
integrated|综合的；融合的
integration|整合；融合
integrity|正直；完整性
intellectual|智力的；知识分子
intensify|加强；加剧
intensity|强度；激烈
intensive|密集的；加强的
intent|意图；专心的
interactive|互动的
interface|界面；接口
interfere|干涉；妨碍
interference|干涉；干扰
interim|临时的；过渡期
interior|内部；内陆的
intermediate|中级的；中间的
intervene|干预；介入
intervention|干预；介入
intimate|亲密的；暗示
intriguing|引人入胜的
investigator|调查员
invisible|看不见的
invoke|援引；唤起
involvement|参与；牵涉
ironic|讽刺的
ironically|讽刺地
irony|讽刺；反语
irrelevant|不相关的
isolation|隔离；孤立
judicial|司法的
junction|交叉路口；连接点
jurisdiction|司法管辖权；管辖范围
just|公正的；正好
justification|正当理由
kidnap|绑架
kidney|肾
kingdom|王国
lad|男孩；小伙子
landlord|房东
landmark|地标；里程碑
lap|大腿；一圈
large-scale|大规模的
laser|激光
latter|后者；后面的
lawn|草坪
lawsuit|诉讼
layout|布局；版面
leak|泄漏；透露
leap|跳跃；骤增
legacy|遗产
legendary|传奇的
legislation|法律；立法
legislative|立法的
legislature|立法机构
legitimate|合法的；正当的
lengthy|冗长的；漫长的
lesbian|女同性恋者；女同性恋的
lesser|较小的；次要的
lethal|致命的
liable|有责任的；可能的
liberal|自由主义的；开明的
liberation|解放
liberty|自由
license|许可证；许可
lifelong|终身的
likelihood|可能性
limb|肢；树枝
linear|线性的
line-up|阵容；排队
linger|逗留；持续
listing|列表；上市
literacy|读写能力
liver|肝脏
lobby|游说；大厅
log|日志；木头
logic|逻辑
long-standing|长期存在的
long-time|长期的
loom|隐约出现；织布机
loop|环；循环
loyalty|忠诚
machinery|机器；机制
magical|神奇的
magistrate|地方法官
magnetic|磁性的；有吸引力的
magnitude|巨大；重要性
mainland|大陆
mainstream|主流
maintenance|维护；保养
mandate|授权；命令
mandatory|强制性的
manifest|显示；明显的
manipulate|操纵；操作
manipulation|操纵；操作
manuscript|手稿
march|游行；行军
marginal|边缘的；微小的
marine|海洋的；海军的
marketplace|市场；交易平台
mask|面具；掩盖
massacre|大屠杀
mathematical|数学的
mature|成熟的
maximize|最大化
meaningful|有意义的
meantime|同时；其间
medieval|中世纪的
meditation|冥想；沉思
melody|旋律
memo|备忘录
memoir|回忆录
memorial|纪念碑；纪念的
mentor|导师；指导者
merchant|商人
mercy|仁慈；宽恕
mere|仅仅的；纯粹的
merely|仅仅
merge|合并；融合
merger|合并
merit|优点；价值
methodology|方法论
midst|中间；当中
migration|迁移；移民
militant|激进分子；好斗的
militia|民兵组织
mill|磨坊；工厂
minimal|最低限度的
minimize|最小化；减少
mining|采矿
ministry|部；牧师职业
minute|分钟；微小的
miracle|奇迹
misery|痛苦；苦难
misleading|误导性的
missile|导弹
mob|暴民；人群
mobility|流动性；移动能力
mobilize|动员；调动
moderate|适度的；主持
modification|修改
momentum|势头；动力
monk|僧侣
monopoly|垄断
morality|道德
motive|动机
motorist|驾车者
municipal|市政的
mutual|相互的
namely|即；也就是
nationwide|全国范围的
naval|海军的
neglect|忽视；疏忽
neighbouring|邻近的
nest|巢
net|网；净的
newsletter|通讯；简报
niche|小众市场；生态位
noble|高尚的；贵族的
nod|点头
nominate|提名；任命
nomination|提名
nominee|被提名者
nonetheless|尽管如此
non-profit|非营利的
nonsense|胡说；荒谬
noon|中午
notable|显著的；著名的
notably|尤其；显著地
notify|通知
notorious|臭名昭著的
novel|小说；新颖的
nursery|托儿所；苗圃
objection|反对；异议
oblige|迫使；帮忙
obsess|使痴迷
obsession|痴迷；执念
occasional|偶尔的
occurrence|发生；事件
odds|可能性；赔率
offering|提供物；供品
offspring|后代；子女
operational|运营的；可操作的
opt|选择
optical|光学的；视觉的
optimism|乐观
oral|口头的；口腔的
organizational|组织的
orientation|方向；适应培训
originate|起源；创始
outbreak|爆发
outing|短途旅行
outlet|出口；商店
outlook|前景；观点
outrage|愤怒；暴行
outsider|局外人
overlook|忽视；俯瞰
overly|过度地
oversee|监督
overturn|推翻；翻倒
overwhelm|压倒；使不知所措
overwhelming|压倒性的；巨大的
pad|垫子；便笺本
parameter|参数；界限
parental|父母的
parish|教区
parliamentary|议会的
partial|部分的；偏袒的
partially|部分地
passing|经过；短暂的
passive|被动的
pastor|牧师
patch|补丁；小块
patent|专利；获得专利
pathway|途径；小路
patrol|巡逻
patron|赞助人；顾客
peak|顶峰；达到最高点
peasant|农民
peculiar|奇怪的；独特的
persist|坚持；持续
persistent|持续的；执着的
personnel|人员；员工
petition|请愿书；请愿
philosopher|哲学家
philosophical|哲学的
physician|医生；内科医生
pioneer|先驱；开创
pipeline|管道；渠道
pirate|海盗；盗版者
pit|坑；矿井
plea|请求；申辩
plead|恳求；申辩
pledge|承诺；保证
plug|插头；堵塞
plunge|骤降；投入
pole|杆；极
poll|民意调查；投票
pond|池塘
pop|流行音乐；砰的一声
portfolio|作品集；投资组合
portray|描绘；扮演
postpone|推迟
post-war|战后的
practitioner|从业者
preach|布道；宣扬
precedent|先例
precision|精确；精准
predator|捕食者；掠夺者
predecessor|前任；前身
predominantly|主要地
pregnancy|怀孕
prejudice|偏见
preliminary|初步的；预备的
premier|首相；最重要的
premise|前提
premium|保险费；高级的
prescribe|开处方；规定
prescription|处方；规定
presently|目前；不久
preservation|保护；保存
preside|主持；主管
presidency|总统职位；任期
presidential|总统的
prestigious|有声望的
presumably|大概；可能
presume|假定；推测
prevail|盛行；获胜
prevalence|流行；普遍
prevention|预防
prey|猎物；捕食
principal|校长；主要的
privatization|私有化
privilege|特权
probe|调查；探测器
problematic|有问题的
proceedings|诉讼程序；会议记录
proceeds|收益
processing|处理；加工
processor|处理器
proclaim|宣布；声明
productive|富有成效的
productivity|生产力
profitable|有利可图的
profound|深刻的
projection|预测；投影
prominent|突出的；著名的
pronounced|明显的；显著的
propaganda|宣传
proposition|提议；主张
prosecute|起诉
prosecution|起诉；控方
prosecutor|检察官
prospective|未来的；预期的
prosperity|繁荣
protective|保护的
protocol|协议；礼仪
province|省；领域
provincial|省级的；地方的
provision|提供；条款
provoke|激怒；引发
psychiatric|精神病学的
pulse|脉搏；脉冲
pump|泵；抽送
punch|拳打；冲压
query|疑问；查询
quest|追求；探索
quota|配额
radar|雷达
radical|激进的；根本的
rage|愤怒；肆虐
raid|突袭
rally|集会；恢复
ranking|排名
rape|强奸
ratio|比率
rational|理性的；合理的
ray|光线；射线
readily|乐意地；容易地
realization|认识；实现
realm|领域；王国
rear|后部；抚养
reasoning|推理；理由
reassure|使安心
rebel|反叛者；反抗
rebellion|叛乱
recipient|接受者
reconstruction|重建
recount|叙述；重新计数
referendum|公民投票
reflection|反映；思考
reform|改革
refuge|避难；庇护所
refusal|拒绝
regain|重新获得
regardless|不管怎样
regime|政权；制度
regulator|监管机构；调节器
regulatory|监管的
rehabilitation|康复；改造
reign|统治；任期
rejection|拒绝；否决
relevance|相关性
reliability|可靠性
reluctant|不情愿的
remainder|剩余部分
remains|遗体；残余
remedy|补救办法；纠正
reminder|提醒；提示
removal|移除；去除
render|使成为；呈现
renew|更新；续订
renowned|著名的
rental|租金；租赁
replacement|替代；替换物
reportedly|据报道
representation|代表；表现
reproduce|复制；繁殖
reproduction|复制；繁殖
republic|共和国
resemble|像；类似
reside|居住；存在
residence|住所
residential|住宅的
residue|残留物
resignation|辞职；顺从
resistance|抵抗；阻力
respective|各自的
respectively|分别地
restoration|恢复；修复
restraint|克制；限制
resume|恢复；简历
retreat|撤退；静修
retrieve|取回；检索
revelation|揭示；启示
revenge|报复
reverse|逆转；相反的
revival|复兴；恢复
revive|复兴；使恢复
revolutionary|革命的；革命者
rhetoric|修辞；花言巧语
rifle|步枪
riot|暴乱
rip|撕裂
ritual|仪式；惯例
robust|强健的；稳健的
rock|岩石；摇动
rod|杆；棒
rotate|旋转；轮换
rotation|旋转；轮换
ruling|裁决；统治的
rumour|谣言
sack|解雇；袋子
sacred|神圣的
sacrifice|牺牲；祭品
saint|圣人
sake|缘故；利益
sanction|制裁；批准
say|发言权；说
scattered|分散的
sceptical|怀疑的
scope|范围；余地
screw|螺丝；拧紧
scrutiny|仔细审查
seal|密封；印章
secular|世俗的
seemingly|表面上；似乎
segment|部分；片段
seize|抓住；夺取
seldom|很少
selective|选择性的
senator|参议员
sensation|感觉；轰动
sensitivity|敏感性
sentiment|情绪；观点
separation|分离；分隔
serial|连续的；连载的
settlement|解决；定居点
set-up|安排；设置
sexuality|性；性取向
shareholder|股东
shatter|粉碎；破坏
shed|棚屋；脱落
sheer|纯粹的；陡峭的
shipping|航运；运输
shoot|射击；拍摄
shrink|收缩；退缩
shrug|耸肩
sigh|叹气
simulate|模拟
simulation|模拟
simultaneously|同时地
sin|罪；罪过
situated|位于；处于
sketch|草图；素描
skip|跳过；蹦跳
slam|猛关；猛烈抨击
slap|拍打；掌掴
slash|大幅削减；砍
slavery|奴隶制
slot|狭槽；时段
smash|打碎；猛撞
snap|啪地折断；快照
soak|浸泡；湿透
soar|猛增；高飞
socialist|社会主义者；社会主义的
sole|唯一的；脚底
solely|仅仅
solicitor|律师
solidarity|团结
solo|独奏；单独的
sound|声音；合理的
sovereignty|主权
spam|垃圾邮件
span|跨度；持续时间
spare|备用的；空闲的
spark|火花；引发
specialized|专业的；专门的
specification|规格；说明
specimen|样本；标本
spectacle|景象；眼镜
spectrum|范围；光谱
spell|拼写；一段时间
sphere|领域；球体
spin|旋转；编造
spine|脊柱；书脊
spotlight|聚光灯；关注
spouse|配偶
spy|间谍；侦察
squad|小队
squeeze|挤压；榨取
stab|刺；戳
stability|稳定性
stabilize|稳定
stake|股份；利害关系
standing|地位；站立的
stark|鲜明的；严酷的
statistical|统计的
steer|驾驶；引导
stem|茎；源于
stereotype|刻板印象
stimulus|刺激；刺激物
stir|搅拌；激起
storage|储存；存储
straightforward|简单明了的
strain|压力；拉伤
strand|缕；使滞留
strategic|战略的
striking|显著的；引人注目的
strip|条；剥去
strive|努力；奋斗
structural|结构的
stumble|绊倒；结巴
stun|使震惊；击昏
submission|提交；屈服
subscriber|订阅者
subscription|订阅；会费
subsidy|补贴
substantial|大量的；实质的
substantially|大幅地；实质上
substitute|替代品；代替
substitution|替换；代替
subtle|微妙的；不易察觉的
suburban|郊区的
succession|连续；继承
successive|连续的
successor|继任者
suck|吸；吮吸
sue|起诉
suicide|自杀
suite|套房；一套
summit|峰会；顶峰
superb|极好的
superior|优越的；上级
supervise|监督
supervision|监督
supervisor|主管；监督者
supplement|补充；补充物
supportive|支持的
supposedly|据说；据称
suppress|镇压；抑制
supreme|最高的
surge|激增；涌动
surgical|外科的；手术的
surplus|过剩；盈余
surrender|投降；交出
surveillance|监视
suspension|暂停；悬挂
suspicion|怀疑
suspicious|可疑的；怀疑的
sustain|维持；承受
swing|摆动；秋千
sword|剑
symbolic|象征性的
syndrome|综合征
synthesis|合成；综合
systematic|系统的
tackle|处理；抢断
tactic|策略；手段
tactical|战术的
taxpayer|纳税人
tempt|诱惑；吸引
tenant|租户；房客
tender|温柔的；投标
tenure|任期；终身职位
terminal|终点站；终端
terminate|终止；结束
terrain|地形；地势
terrific|极好的；巨大的
testify|作证；证明
testimony|证词；证明
texture|质地；纹理
thankfully|幸亏；感激地
theatrical|戏剧的；夸张的
theology|神学
theoretical|理论的
thereafter|此后
thereby|因此；由此
thoughtful|体贴的；深思的
thought-provoking|发人深省的
thread|线；思路
threshold|门槛；阈值
thrilled|非常兴奋的
thrive|兴旺；茁壮成长
tide|潮汐；趋势
tighten|收紧；加强
timber|木材
timely|及时的
tobacco|烟草
tolerance|容忍；耐受性
tolerate|容忍
toll|伤亡人数；通行费
top|顶部；最高的
torture|折磨；拷打
toss|扔；抛
total|总数；完全的
toxic|有毒的
trace|痕迹；追踪
trademark|商标
trail|小路；踪迹
trailer|拖车；预告片
transaction|交易
transcript|成绩单；文字记录
transformation|转变
transit|运输；过境
transmission|传输；传播
transparency|透明度
transparent|透明的
trauma|创伤
treaty|条约
tremendous|巨大的；极好的
tribal|部落的
tribunal|法庭；特别审判庭
tribute|致敬；贡品
trigger|引发；触发器
trio|三人组
triumph|胜利；巨大成功
trophy|奖杯
troubled|苦恼的；动荡的
trustee|受托人；理事
tuition|学费；教学
turnout|出席人数；投票率
turnover|营业额；人员流动
twist|扭转；转折
undergraduate|本科生
underlying|潜在的；根本的
undermine|削弱；破坏
undoubtedly|毫无疑问地
unify|统一
unprecedented|前所未有的
unveil|揭开；公布
upcoming|即将到来的
upgrade|升级
uphold|维护；支持
utility|实用；公用事业
utilize|利用
utterly|完全地
vacuum|真空；吸尘器
vague|模糊的
validity|有效性
vanish|消失
variable|变量；可变的
varied|多样的
vein|静脉；矿脉
venture|冒险；企业项目
verbal|口头的；言语的
verdict|裁决；结论
verify|核实；证实
verse|诗句；韵文
versus|对；与...相对
vessel|船只；容器
veteran|老兵；经验丰富者
viable|可行的
vibrant|充满活力的
vice|罪恶；副的
vicious|恶毒的；凶猛的
villager|村民
violate|违反；侵犯
violation|违反；侵犯
virtue|美德；优点
vocal|声音的；直言的
vow|誓言；发誓
vulnerability|脆弱性
vulnerable|脆弱的；易受伤害的
ward|病房；选区
warehouse|仓库
warfare|战争；作战
warrant|授权令；保证
warrior|战士
weaken|削弱
weave|编织
weed|杂草；除草
well|井；好；健康
well-being|幸福；健康
whatsoever|任何；丝毫
whereby|凭借；通过
whilst|当...时；然而
whip|鞭子；鞭打
wholly|完全地
widen|加宽；扩大
widow|寡妇
width|宽度
willingness|意愿
wipe|擦；抹去
wit|机智；才智
withdrawal|撤回；取款
workout|锻炼；训练
worship|崇拜；礼拜
worthwhile|值得的
worthy|值得的；有价值的
yell|大喊
yield|产生；让步
youngster|年轻人；少年
