accomplishment|成就
civic|城市的；公民的
civilian|平民
civilization|文明
clarify|澄清
clarity|清晰
clash|冲突；碰撞
classification|分类
cling|紧抓；依附
clinical|临床的
closure|关闭；结束
cluster|群；簇
coalition|联盟
coastal|沿海的
cocktail|鸡尾酒；混合物
cognitive|认知的
coincide|同时发生；一致
collaborate|合作
collaboration|合作
collective|集体的
collector|收藏家
collision|碰撞
colonial|殖民的
colony|殖民地；群体
colourful|多彩的
columnist|专栏作家
combat|战斗；打击
commander|指挥官
commence|开始
commentary|评论；解说
commentator|评论员；解说员
commerce|商业
commissioner|委员；专员
commodity|商品
communist|共产主义的；共产主义者
companion|同伴
comparable|可比较的
comparative|比较的
compassion|同情
compel|迫使
compelling|引人注目的；令人信服的
compensate|补偿
compensation|补偿
competence|能力
competent|有能力的
compile|编译；汇编
complement|补充；补足
complexity|复杂性
compliance|遵守
complication|复杂情况；并发症
comply|遵守
composition|组成；作文
compromise|妥协
compute|计算
conceal|隐藏
concede|承认；让步
conceive|构想；怀孕
conception|概念；构想
concession|让步；特许权
concrete|具体的；混凝土
condemn|谴责
confer|授予；商议
confession|供认；忏悔
configuration|配置
confine|限制
confirmation|确认
confront|面对；对抗
confrontation|对抗
congratulate|祝贺
congregation|会众；集会
congressional|国会的
conquer|征服
conscience|良心
consciousness|意识
consecutive|连续的
consensus|共识
consent|同意
conserve|保护；节约
consistency|一致性
consolidate|巩固；合并
constituency|选区；支持者
constitute|构成
constitution|宪法；章程
constitutional|宪法的
constraint|限制
consultation|咨询
contemplate|考虑；沉思
contempt|轻视；蔑视
contend|声称；竞争
contender|竞争者
content|满意的；内容
contention|争论；主张
continually|不断地
contractor|承包商
contradiction|矛盾
contrary|相反的
contributor|贡献者
conversion|转变
convey|传达；运输
convincing|令人信服的
cope|应对
corporation|公司
corridor|走廊
counter|柜台；操作台
coverage|覆盖范围；报道
crack|裂缝；破裂
craft|手艺；工艺
crawl|爬行
creativity|创造力
creator|创造者
credibility|可信度
credible|可信的
creep|悄悄移动
critique|评论；批评
crown|王冠；加冕
crude|粗糙的；原油
crush|压碎；迷恋
crystal|水晶；晶体
cult|邪教；狂热崇拜
cultivate|培养；耕种
curiosity|好奇心
custody|监护；拘留
cute|可爱的
cutting|剪报；切割
cynical|愤世嫉俗的
